2019-05-28 10:22:26,774 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2019-05-28 10:22:26,788 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 5.351 seconds
2019-05-28 10:22:26,788 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.017 seconds
2019-05-28 10:22:36,190 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2019-05-28 10:22:36,192 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2019-05-28 10:22:36,306 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2019-05-28 10:22:36,380 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2019-05-28 10:22:36,481 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: direct://csvinput
2019-05-28 10:22:36,481 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2019-05-28 10:22:36,483 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.294 seconds
2019-05-28 10:22:36,524 | INFO | CamelLogger.java 159 | <?xml version='1.0' encoding='UTF-8'?><employee><id>d</id><name>c</name></employee>
2019-05-28 10:22:41,524 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2019-05-28 10:22:41,525 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2019-05-28 10:22:41,528 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: direct://csvinput
2019-05-28 10:22:41,528 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2019-05-28 10:22:41,541 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 5.354 seconds
2019-05-28 10:22:41,541 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.017 seconds
2019-05-28 10:22:48,387 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2019-05-28 10:22:48,389 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2019-05-28 10:22:48,503 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2019-05-28 10:22:48,574 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2019-05-28 10:22:48,674 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: direct://csvinput
